opened_at,closed_at,pair,direction,conviction_score,entry_price,exit_price,quantity,realized_pnl,balance_after
2026-09-11T02:49:59.894Z,2026-09-11T03:50:06.796Z,SOLUSDT,short,40,99.37,99.23,2.012680,0.2858,9999.7458
2026-09-11T02:50:18.660Z,2026-09-11T03:51:36.251Z,XRPUSDT,short,42,1.34,1.34,156.283010,0.4845,10000.0413
2026-09-11T02:50:30.885Z,2026-09-11T03:51:36.377Z,DOGEUSDT,short,35,0.08,0.08,2095.756827,-0.2724,9999.7688
2026-09-11T02:50:39.190Z,2026-09-11T03:51:36.500Z,ADAUSDT,long,33,0.21,0.21,797.073471,0.0797,9999.8486
2026-09-11T03:05:34.117Z,2026-09-11T04:06:32.443Z,AVAXUSDT,short,30,7.45,7.47,20.122518,-0.2616,9999.2690
2026-09-11T03:50:35.849Z,2026-09-11T04:50:40.333Z,SOLUSDT,short,63,99.21,99.67,3.175034,-1.4542,9997.8148
2026-09-11T04:05:47.262Z,2026-09-11T05:06:56.888Z,XRPUSDT,short,72,1.34,1.35,268.092455,-1.1260,9996.4999
2026-09-11T04:05:55.707Z,2026-09-11T05:06:57.008Z,DOGEUSDT,short,34,0.08,0.08,2030.018551,-0.5278,9995.9720
2026-09-11T04:51:02.021Z,2026-09-11T05:51:32.377Z,SOLUSDT,short,63,99.68,99.74,3.159390,-0.1769,9995.4293
2026-09-11T05:21:29.694Z,2026-09-11T06:21:33.159Z,XRPUSDT,short,42,1.35,1.35,155.758264,-0.5607,9994.7336
2026-09-11T05:21:38.497Z,2026-09-11T06:22:47.462Z,DOGEUSDT,short,47,0.08,0.08,2796.124073,0.1118,9994.7165
2026-09-11T05:21:47.662Z,2026-09-11T06:22:47.581Z,ADAUSDT,long,33,0.21,0.21,787.251242,-0.3936,9994.3229
2026-09-11T05:51:58.140Z,2026-09-11T06:52:21.101Z,SOLUSDT,short,45,99.74,99.75,2.254902,-0.0225,9994.2044
