timestamp,pair,state,conviction_score,direction,price,quantity,balance_change,balance_after,reason
2026-09-11T23:52:35.542Z,TSLAUSDT,INCONCLUSIVE,42,short,365.27,0.574917,-0.1260,9999.8740,"Partial agreement between signals. Trend: -1.88% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Taking a reduced position sized to uncertainty."
2026-09-11T23:52:44.851Z,NVDAUSDT,FAULT,16,none,218.44,0.000000,0.0000,9999.8740,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.75% move over last 10 candles. Sentiment: funding 0.0168%, L/S ratio 1.00. Volatility: 0.364% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-11T23:52:54.466Z,AAPLUSDT,INCONCLUSIVE,36,short,332.74,0.540956,-0.1080,9999.7660,"Partial agreement between signals. Trend: -1.70% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Taking a reduced position sized to uncertainty."
2026-09-11T23:53:02.516Z,MSTRUSDT,INCONCLUSIVE,36,short,130.65,1.377695,-0.1080,9999.6580,"Partial agreement between signals. Trend: -5.78% move over last 10 candles. Sentiment: funding 0.0161%, L/S ratio 1.00. Taking a reduced position sized to uncertainty."
2026-09-11T23:53:11.039Z,METAUSDT,FAULT,13,none,647.91,0.000000,0.0000,9999.6580,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.68% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.498% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-11T23:53:22.182Z,COINUSDT,INCONCLUSIVE,41,short,175.43,1.168517,-0.1230,9999.5350,"Partial agreement between signals. Trend: -3.63% move over last 10 candles. Sentiment: funding 0.0187%, L/S ratio 1.00. Taking a reduced position sized to uncertainty."
2026-09-11T23:53:31.277Z,QQQUSDT,FAULT,11,none,715.47,0.000000,0.0000,9999.5350,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.48% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.188% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-11T23:53:38.373Z,GOOGLUSDT,FAULT,23,none,338.56,0.000000,0.0000,9999.5350,"Signals contradict or noise too high to diagnose cleanly. Trend: -1.07% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.451% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-11T23:53:47.201Z,AMZNUSDT,FAULT,23,none,256.93,0.000000,0.0000,9999.5350,"Signals contradict or noise too high to diagnose cleanly. Trend: -1.04% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.380% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:07:28.064Z,TSLAUSDT,FAULT,8,none,365.57,0.000000,0.0000,9999.5350,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.48% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.465% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:07:39.305Z,NVDAUSDT,FAULT,16,none,218.58,0.000000,0.0000,9999.5350,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.76% move over last 10 candles. Sentiment: funding 0.0182%, L/S ratio 1.00. Volatility: 0.405% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:07:41.560Z,AAPLUSDT,FAULT,1,none,332.57,0.000000,0.0000,9999.5350,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.31% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.798% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:07:43.806Z,MSTRUSDT,FAULT,8,none,130.79,0.000000,0.0000,9999.5350,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.65% move over last 10 candles. Sentiment: funding 0.0192%, L/S ratio 1.00. Volatility: 1.033% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:07:54.274Z,METAUSDT,INCONCLUSIVE,45,short,647.74,0.347345,-0.1350,9999.4000,"Partial agreement between signals. Trend: -2.08% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Taking a reduced position sized to uncertainty."
2026-09-12T00:07:56.547Z,COINUSDT,FAULT,12,none,175.57,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: 0.71% move over last 10 candles. Sentiment: funding 0.0252%, L/S ratio 1.00. Volatility: 0.709% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:08:06.334Z,QQQUSDT,FAULT,1,none,715.65,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.10% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.169% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:08:18.591Z,GOOGLUSDT,FAULT,0,none,338.55,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.01% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.456% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:08:32.971Z,AMZNUSDT,FAULT,3,none,256.95,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: 0.27% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.418% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:22:28.067Z,TSLAUSDT,FAULT,6,none,365.68,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: 0.37% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.388% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:22:39.553Z,NVDAUSDT,FAULT,27,none,218.67,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: -1.25% move over last 10 candles. Sentiment: funding 0.0187%, L/S ratio 1.00. Volatility: 0.460% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:22:42.025Z,AAPLUSDT,INCONCLUSIVE,32,long,332.68,0.000000,0.0000,9999.4000,"Partial agreement between signals. Trend: 1.51% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Taking a reduced position sized to uncertainty."
2026-09-12T00:22:44.264Z,MSTRUSDT,FAULT,0,none,131.04,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: 0.10% move over last 10 candles. Sentiment: funding 0.0240%, L/S ratio 1.00. Volatility: 1.018% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:22:46.504Z,METAUSDT,FAULT,20,none,647.37,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.97% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.519% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:22:48.753Z,COINUSDT,FAULT,12,none,175.72,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: 0.70% move over last 10 candles. Sentiment: funding 0.0311%, L/S ratio 1.00. Volatility: 0.737% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:22:55.966Z,QQQUSDT,FAULT,1,none,715.90,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.08% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.166% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:23:07.131Z,GOOGLUSDT,FAULT,21,none,338.75,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: 0.97% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.466% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:23:21.304Z,AMZNUSDT,FAULT,20,none,256.90,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: 0.94% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.460% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:37:28.065Z,TSLAUSDT,FAULT,4,none,365.67,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: 0.31% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.416% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:37:36.170Z,NVDAUSDT,FAULT,24,none,218.85,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: -1.08% move over last 10 candles. Sentiment: funding 0.0185%, L/S ratio 1.00. Volatility: 0.441% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:37:38.438Z,AAPLUSDT,INCONCLUSIVE,39,long,332.63,0.000000,0.0000,9999.4000,"Partial agreement between signals. Trend: 1.82% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Taking a reduced position sized to uncertainty."
2026-09-12T00:37:40.682Z,MSTRUSDT,FAULT,18,none,130.95,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: -1.07% move over last 10 candles. Sentiment: funding 0.0254%, L/S ratio 1.00. Volatility: 1.018% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:37:42.936Z,METAUSDT,FAULT,27,none,647.33,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: -1.27% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.567% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:37:45.194Z,COINUSDT,FAULT,1,none,175.68,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.27% move over last 10 candles. Sentiment: funding 0.0340%, L/S ratio 1.00. Volatility: 0.755% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:37:53.544Z,QQQUSDT,FAULT,2,none,715.81,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: -0.13% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.160% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:37:59.834Z,GOOGLUSDT,FAULT,23,none,338.75,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: 1.08% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.541% stdev. Refusing to trade — protecting capital over forcing a read."
2026-09-12T00:38:07.251Z,AMZNUSDT,FAULT,20,none,256.83,0.000000,0.0000,9999.4000,"Signals contradict or noise too high to diagnose cleanly. Trend: 0.98% move over last 10 candles. Sentiment: funding 0.0000%, L/S ratio 1.00. Volatility: 0.519% stdev. Refusing to trade — protecting capital over forcing a read."
